"","custname","region","partnum","revenue","cost","margin"
"1","3M COMPANY","01-East",727032005,24097.5,19851.82,4245.68
"2","4-STATE SUPPLY","01-East",735602000,156200,52381.38,103818.62
"3","4-STATE SUPPLY","01-East",777143000,34927.2,15382.08,19545.12
"4","4-STATE SUPPLY","01-East",777142000,21989.4,12562.5,9426.9
"5","4-STATE SUPPLY","01-East",735750000,12487,3686.91,8800.09
"6","A G C INC.","01-East",791104479,78642,18147.4,60494.6
"7","A G C INC.","01-East",791106280,3340.46,7614.14,-4273.68
"8","A P S TECHNOLOGY","01-East",764521000,333,13.27,319.73
"9","A W CHESTERTON COMPANY","01-East",770560000,2937.6,258.27,2679.33
"10","A W CHESTERTON COMPANY","01-East",770568000,1029,89.5,939.5
"11","A&F WHOLESALE INSULATION","01-East",770264000,95134.5,41677.18,53457.32
"12","A&F WHOLESALE INSULATION","01-East",735602000,89103.5,26645.65,62457.85
"13","A&F WHOLESALE INSULATION","01-East",764861000,70882,30089.92,40792.08
"14","A&F WHOLESALE INSULATION","01-East",764521000,70611,22683.19,47927.81
"15","A&F WHOLESALE INSULATION","01-East",770220200,69066,21411.45,47654.55
"16","A&F WHOLESALE INSULATION","01-East",724281200,45570,24306.87,21263.13
"17","A&F WHOLESALE INSULATION","01-East",733151500,21384,5113.93,16270.07
"18","A&F WHOLESALE INSULATION","01-East",764901000,12155,3649.65,8505.35
"19","A&F WHOLESALE INSULATION","01-East",770380000,12140,2314.54,9825.46
"20","A&F WHOLESALE INSULATION","01-East",735602110,11028,3418,7610
"21","A&F WHOLESALE INSULATION","01-East",770200000,10953,2403.03,8549.97
"22","A&F WHOLESALE INSULATION","01-East",737271000,6025.7,9870.84,-3845.14
"23","A&F WHOLESALE INSULATION","01-East",770540000,4897.38,474.88,4422.5
"24","A&F WHOLESALE INSULATION","01-East",733525600,4692.5,868.02,3824.48
"25","A&F WHOLESALE INSULATION","01-East",764821000,4390,1356.36,3033.64
"26","A&F WHOLESALE INSULATION","01-East",738521000,2373.12,1601.27,771.85
"27","A&F WHOLESALE INSULATION","01-East",739561200,1628.8,659.65,969.15
"28","A&F WHOLESALE INSULATION","01-East",764781000,1594,408.9,1185.1
"29","A&F WHOLESALE INSULATION","01-East",770512000,1192.55,88.67,1103.88
"30","A&F WHOLESALE INSULATION","01-East",733211050,968,223.64,744.36
"31","A&F WHOLESALE INSULATION","01-East",734851000,860.58,182.8,677.78
"32","A&F WHOLESALE INSULATION","01-East",739541200,829.44,256.39,573.05
"33","A&F WHOLESALE INSULATION","01-East",764902000,606,191.56,414.44
"34","A&F WHOLESALE INSULATION","01-East",735750000,516,127.1,388.9
"35","A&F WHOLESALE INSULATION","01-East",734611100,415.05,81.32,333.73
"36","A&F WHOLESALE INSULATION","01-East",739561000,404.64,170.44,234.2
"37","A&F WHOLESALE INSULATION","01-East",734311100,308.92,35.3,273.62
"38","A&F WHOLESALE INSULATION","01-East",733141200,271.2,66.98,204.22
"39","A&F WHOLESALE INSULATION","01-East",733464500,268,65.06,202.94
"40","A&F WHOLESALE INSULATION","01-East",735752000,258,64.44,193.56
"41","A.C. MILLER CONCRETE","01-East",764481000,23006,1404.61,21601.39
"42","A.C. MILLER CONCRETE","01-East",764461006,776,54.5,721.5
"43","ABLE AEROSPACE, INC.","01-East",734311100,381.48,33.7,347.78
"44","ABSORPTION CORP.","01-East",764221000,476,33.66,442.34
"45","ACCEL-RF CORPORATION","01-East",733141200,520,66.98,453.02
"46","ACME SPECIALTIES INC","01-East",733545700,1079,133.91,945.09
"47","ACS INDUSTRIES INC.","01-East",740382101,165294,57490.21,107803.79
"48","ACS INDUSTRIES INC.","01-East",733011000,4800,1200.36,3599.64
"49","ADVANCE COOLING","01-East",739781100,394.88,95.21,299.67
"50","ADVANCE THERMAL CORP","01-East",768221130,131510.4,39169.8,92340.6
"51","ADVANCE THERMAL CORP","01-East",733201000,18278,4679.78,13598.22
"52","ADVANCE THERMAL CORP","01-East",733151500,17460,3704.05,13755.95
"53","ADVANCED CLIMATE TECH","01-East",770560000,597,89.5,507.5
"54","ADVANCED RADIATION CORP","01-East",734211200,3785.12,369.72,3415.4
"55","AECOM","01-East",770722000,1342,38.38,1303.62
"56","AECOM","01-East",770930000,1054.5,23.77,1030.73
"57","AERO ENGINEERING & MFG","01-East",771100000,5400,146.93,5253.07
"58","AERO ENGINEERING & MFG","01-East",771102000,967,22.98,944.02
"59","AERO TUBE TECHNOLOGIES","01-East",770800000,2736,51.1,2684.9
"60","AGIS","01-East",739561100,56288.4,24606.26,31682.14
"61","AGIS","01-East",740063000,38955.5,12193.45,26762.05
"62","AGIS","01-East",764822000,15719.6,2604.25,13115.35
"63","AGIS","01-East",734311100,12846.96,1478,11368.96
"64","AGIS","01-East",777601000,4914.82,1366.94,3547.88
"65","AGIS","01-East",734900000,4603.3,1637.23,2966.07
"66","AGIS","01-East",764781040,3262.1,659.07,2603.03
"67","AGIS","01-East",764482000,2740.3,636.09,2104.21
"68","AGIS","01-East",739541100,2550.92,648.78,1902.14
"69","AGIS","01-East",734910000,2068.55,421.22,1647.33
"70","AGIS","01-East",764522000,1883.2,370.2,1513
"71","AGIS","01-East",764762000,1677,454.39,1222.61
"72","AGIS","01-East",743975000,1492,154.1,1337.9
"73","AGIS","01-East",739761100,1214.15,603.28,610.87
"74","AGIS","01-East",771170000,1119.85,75.47,1044.38
"75","AGIS","01-East",738521000,1110.78,573.81,536.97
"76","AGIS","01-East",739450000,756.22,390.35,365.87
"77","AGIS","01-East",739521100,690.14,139.38,550.76
"78","AGIS","01-East",764601000,473.55,93,380.55
"79","AGIS","01-East",740023000,463.34,118.54,344.8
"80","AGIS","01-East",764862000,429.15,78.55,350.6
"81","AGIS","01-East",733525600,427,65.49,361.51
"82","AGIS","01-East",764821000,385.4,62.62,322.78
"83","AGIS","01-East",793330000,288.8,53.02,235.78
"84","AGIS","01-East",793330074,139,48.23,90.77
"85","AGIS","01-East",734611100,131.29,26.96,104.33
"86","AIR LIQUIDE AT REC","01-East",734900000,203.6,37.83,165.77
"87","AIR PRODUCTS & CHEMICALS","01-East",764761000,508,30.71,477.29
"88","AIR PRODUCTS & CHEMICALS","01-East",764781000,454,20.45,433.55
"89","AIR PRODUCTS & CHEMICALS","01-East",764821000,430,15.36,414.64
"90","AKRO-FIREGUARD","01-East",726020019,231.5,22.61,208.89
"91","ALBATROSS UV","01-East",764601000,326,13.29,312.71
"92","ALBERTUS ENGINEERING INC.","01-East",734311100,700,70.6,629.4
"93","ALCOA","01-East",724401150,28791,7594.88,21196.12
"94","ALCOA","01-East",724401500,1620,370.66,1249.34
"95","ALL TEMP INSULATION","01-East",735752000,23047,6722.23,16324.77
"96","ALPHABET ENERGY INC","01-East",792654000,1024,321.9,702.1
"97","ALPHABET ENERGY INC","01-East",792624000,666,86.09,579.91
"98","ALPHABET ENERGY INC","01-East",739561200,421.12,76.67,344.45
"99","ALPHABET ENERGY INC","01-East",739370000,364.8,138.24,226.56
"100","ALSTOM POWER INC.","01-East",764902000,4299.75,2011.39,2288.36
"101","ALTAIR TECHNOLOGIES","01-East",740361900,2736,898.74,1837.26
"102","ALYSSA OXLEY","01-East",733423700,371.2,45.26,325.94
"103","AMERET LLC","01-East",764261000,424,22.89,401.11
"104","AMERICAN CONTROL & ENGRG","01-East",770560000,3018,172.18,2845.82
"105","AMERICAN CONTROL & ENGRG","01-East",777601000,366.72,72.02,294.7
"106","AMERICAN DESIGN &","01-East",764821000,430,15.36,414.64
"107","AMERICAN NATIONAL CARBIDE","01-East",739761100,7695.36,2572.81,5122.55
"108","AMERICAN POWER SERVICE","01-East",770500000,2043,83.6,1959.4
"109","AMERICAN RAILCAR","01-East",764706120,1199.52,326.91,872.61
"110","AMERISAFE, INC","01-East",733725500,205.2,51.76,153.44
"111","AMERITHERM INC.","01-East",766081010,1101,36.37,1064.63
"112","AMERITHERM INC.","01-East",766121000,875,27.25,847.75
"113","ANCHOR INSULATION","01-East",768144200,3070,526.37,2543.63
"114","ANTHONY INTERNATIONAL","01-East",764521000,973,39.87,933.13
"115","APCO SERVICES","01-East",770570000,3316.5,201.46,3115.04
"116","APEX DISTRIBUTING INC","01-East",735602000,23968,5841.31,18126.69
"117","APEX DISTRIBUTING","01-East",735602000,90480,25799.33,64680.67
"118","APPLIED INDUSTRIAL TECH.","01-East",738561000,20198.72,9345.87,10852.85
